headtracker,time,value
Supperware,0,0.14519446
Supperware,0.08533333,0.5
Supperware,1.4499,0.50040867
Supperware,1.5,0.37380552
Supperware,2.21866667,0.5006389
Supperware,2.304,0.50733334
Supperware,2.47466667,0.53411108
Supperware,2.56,0.56616664
Supperware,2.73066667,0.68127775
Supperware,2.816,0.70780557
Supperware,2.90133333,0.7431944
Supperware,3.072,0.7980833
Supperware,3.15733333,0.81577778
Supperware,3.24266667,0.84422219
Supperware,3.328,0.87694442
Supperware,3.41333333,0.90383333
Supperware,3.5,0.37491667
Supperware,3.75466667,0.99933326
Supperware,3.84,0.01033338
Supperware,3.92533333,0.01727778
Supperware,5.54666667,0.03391669
Supperware,5.71733333,0.02852779
Supperware,5.888,0.01383332
Supperware,5.97333333,0.00244446
Supperware,6.05866667,0.99011107
Supperware,6.22933333,0.96755558
Supperware,6.4,0.93049997
Supperware,6.48533333,0.90533328
Supperware,6.57066667,0.88513887
Supperware,6.656,0.85844439
Supperware,6.82666667,0.79350001
Supperware,6.912,0.77547216
Supperware,7.08266667,0.71749997
Supperware,7.168,0.68230552
Supperware,7.25333333,0.66377777
Supperware,7.33866667,0.63752777
Supperware,7.424,0.60383332
Supperware,7.50933333,0.57549995
Supperware,7.68,0.5409444
Supperware,7.76533333,0.51633328
Supperware,7.85066667,0.48280555
Supperware,7.936,0.45455554
Supperware,8.10666667,0.36841664
Supperware,8.192,0.31927777
Supperware,8.27733333,0.29236111
Supperware,8.36266667,0.24780555
Supperware,8.448,0.20872222
Supperware,8.704,0.11333335
Supperware,8.78933333,0.0583611
Supperware,8.87466667,0.01666667
Supperware,8.96,0.00491668
Supperware,9.04533333,0.98358329
Supperware,9.216,0.96536112
Supperware,9.472,0.94744438
Supperware,10.66666667,0.94005549
Supperware,10.83733333,0.95686114
Supperware,10.92266667,0.97308332
Supperware,11.008,0.99491662
Supperware,11.09333333,0.02969448
Supperware,11.264,0.10238889
Supperware,11.34933333,0.1299722
Supperware,11.43466667,0.1786111
Supperware,11.52,0.21747222
Supperware,11.60533333,0.27083334
Supperware,11.69066667,0.31113887
Supperware,11.86133333,0.40222221
Supperware,11.94666667,0.44199997
Supperware,12.11733333,0.48455557
Supperware,12.20266667,0.49988887
Supperware,12.288,0.5104444
Supperware,12.37333333,0.51249999
Supperware,12.45866667,0.52105558
Supperware,12.62933333,0.59316665
Supperware,12.71466667,0.64549994
Supperware,12.8,0.72047221
Supperware,12.88533333,0.77288884
Supperware,13,0.40361112
Supperware,13.056,0.81130558
Supperware,13.14133333,0.76630557
Supperware,13.22666667,0.68902773
Supperware,13.312,0.56888885
Supperware,13.39733333,0.54699999
Supperware,13.48266667,0.50966668
Supperware,13.568,0.46594441
Supperware,13.65333333,0.38161108
Supperware,13.73866667,0.32236111
Supperware,13.824,0.20591666
Supperware,13.90933333,0.1148889
Supperware,13.99466667,0.05258332
Supperware,14.08,0.03555556
Supperware,14.16533333,0.03113891
Supperware,14.25066667,0.0781111
Supperware,14.336,0.17483334
Supperware,14.42133333,0.24030554
Supperware,14.50666667,0.32563889
Supperware,14.592,0.37744441
Supperware,14.67733333,0.39830556
Supperware,14.76266667,0.44002777
Supperware,14.848,0.52588886
Supperware,14.93333333,0.62650001
Supperware,15.01866667,0.75702774
Supperware,15.104,0.83574998
Supperware,15.18933333,0.89899993
Supperware,15.27466667,0.91505551
Supperware,15.36,0.89969438
Supperware,15.44533333,0.82263887
Supperware,15.53066667,0.67224998
Supperware,15.616,0.60516668
Supperware,15.70133333,0.44749997
Supperware,15.78666667,0.37441665
Supperware,15.872,0.2939722
Supperware,15.95733333,0.1821389
Supperware,16.04266667,0.07652779
Supperware,16.128,0.02955556
Supperware,16.21333333,0.00672222
Supperware,16.29866667,0.00416667
Supperware,16.384,0.01883333
Supperware,16.46933333,0.04305556
Supperware,16.55466667,0.11444443
Supperware,16.64,0.28522223
Supperware,16.72533333,0.35669446
Supperware,16.81066667,0.43499997
Supperware,16.896,0.5996111
Supperware,16.98133333,0.68461108
Supperware,17.06666667,0.79830551
Supperware,17.152,0.85152775
Supperware,17.23733333,0.89008331
Supperware,17.32266667,0.89141667
Supperware,17.408,0.86472219
Supperware,17.49333333,0.82252777
Supperware,17.57866667,0.71547223
Supperware,17.664,0.58580554
Supperware,17.83466667,0.37333331
Supperware,17.92,0.21855556
Supperware,18.00533333,0.09552778
Supperware,18.09066667,0.06325001
Supperware,18.176,0.04244444
Supperware,18.34666667,0.01694446
Supperware,18.432,0.02275001
Supperware,18.51733333,0.03605554
Supperware,18.60266667,0.07580554
Supperware,18.688,0.18247221
Supperware,18.77333333,0.30302777
Supperware,18.944,0.42277777
Supperware,19.02933333,0.47136113
Supperware,19.11466667,0.50705552
Supperware,19.2,0.52772224
Supperware,19.28533333,0.53608328
Supperware,19.88266667,0.54638886
Supperware,22.69866667,0.53977776
Supperware,22.69866667,0.54030555
Supperware,22.79866667,0.1898611
MrHeadTracker,0,1.8609445
MrHeadTracker,0.08533333,1.00183332
MrHeadTracker,2.21866667,0.99944442
MrHeadTracker,2.304,1.01211106
MrHeadTracker,2.47466667,1.05833328
MrHeadTracker,2.56,1.11061108
MrHeadTracker,2.64533333,1.20311104
MrHeadTracker,2.73066667,1.30933332
MrHeadTracker,2.816,1.3508333
MrHeadTracker,2.90133333,1.41305554
MrHeadTracker,2.98666667,1.45916664
MrHeadTracker,3.072,1.51533318
MrHeadTracker,3.15733333,1.54544436
